snapshot_date,sku,warehouse_id,on_hand_qty,allocated_qty
2026-09-01,BAT001,WH01,49,16
2026-09-01,BAT001,WH02,112,9
2026-09-01,BAT002,WH01,88,18
2026-09-01,BAT002,WH02,49,14
2026-09-01,BAT003,WH01,62,1
2026-09-01,BAT003,WH02,98,20
2026-09-01,BAT004,WH01,121,15
2026-09-01,BAT004,WH02,119,16
2026-09-01,BAT005,WH01,96,2
2026-09-01,BAT005,WH02,133,9
2026-09-01,BAT006,WH01,95,7
2026-09-01,BAT006,WH02,60,19
2026-09-01,BAT007,WH01,126,13
2026-09-01,BAT007,WH02,84,17
2026-09-01,BAT008,WH01,100,9
2026-09-01,BAT008,WH02,90,4
2026-09-01,BAT009,WH01,50,11
2026-09-01,BAT009,WH02,138,1
2026-09-01,BAT010,WH01,135,17
2026-09-01,BAT010,WH02,70,13
2026-09-01,BAT011,WH01,58,15
2026-09-01,BAT011,WH02,117,7
2026-09-01,BAT012,WH01,47,20
2026-09-01,BAT012,WH02,89,18
2026-09-01,BAT013,WH01,115,16
2026-09-01,BAT013,WH02,124,4
2026-09-01,BAT014,WH01,80,9
2026-09-01,BAT014,WH02,95,0
2026-09-01,BAT015,WH01,100,3
2026-09-01,BAT015,WH02,122,14
2026-09-01,BAT016,WH01,142,15
2026-09-01,BAT016,WH02,80,20
2026-09-01,BAT017,WH01,85,6
2026-09-01,BAT017,WH02,140,7
2026-09-01,BAT018,WH01,48,9
2026-09-01,BAT018,WH02,128,3
2026-09-01,BAT019,WH01,91,2
2026-09-01,BAT019,WH02,116,9
2026-09-01,BAT020,WH01,76,4
2026-09-01,BAT020,WH02,102,14
2026-09-01,BAT021,WH01,144,9
2026-09-01,BAT021,WH02,57,17
2026-09-01,BAT022,WH01,109,14
2026-09-01,BAT022,WH02,50,6
2026-09-01,BAT023,WH01,125,17
2026-09-01,BAT023,WH02,88,16
2026-09-01,BAT024,WH01,133,8
2026-09-01,BAT024,WH02,139,6
2026-09-01,BAT025,WH01,66,14
2026-09-01,BAT025,WH02,110,2
2026-09-01,BAT026,WH01,132,4
2026-09-01,BAT026,WH02,129,0
2026-09-01,BAT027,WH01,128,16
2026-09-01,BAT027,WH02,126,13
2026-09-01,BAT028,WH01,92,14
2026-09-01,BAT028,WH02,70,16
2026-09-01,BAT029,WH01,101,9
2026-09-01,BAT029,WH02,96,11
2026-09-01,BAT030,WH01,44,2
2026-09-01,BAT030,WH02,67,2
2026-09-02,BAT001,WH01,88,14
2026-09-02,BAT001,WH02,112,9
2026-09-02,BAT002,WH01,134,11
2026-09-02,BAT002,WH02,48,16
2026-09-02,BAT003,WH01,103,13
2026-09-02,BAT003,WH02,102,11
2026-09-02,BAT004,WH01,50,11
2026-09-02,BAT004,WH02,128,6
2026-09-02,BAT005,WH01,106,0
2026-09-02,BAT005,WH02,78,9
2026-09-02,BAT006,WH01,149,4
2026-09-02,BAT006,WH02,70,8
2026-09-02,BAT007,WH01,150,17
2026-09-02,BAT007,WH02,43,4
2026-09-02,BAT008,WH01,131,1
2026-09-02,BAT008,WH02,134,5
2026-09-02,BAT009,WH01,141,6
2026-09-02,BAT009,WH02,88,13
2026-09-02,BAT010,WH01,54,11
2026-09-02,BAT010,WH02,96,16
2026-09-02,BAT011,WH01,150,13
2026-09-02,BAT011,WH02,85,8
2026-09-02,BAT012,WH01,86,17
2026-09-02,BAT012,WH02,75,3
2026-09-02,BAT013,WH01,77,0
2026-09-02,BAT013,WH02,51,1
2026-09-02,BAT014,WH01,125,15
2026-09-02,BAT014,WH02,117,9
2026-09-02,BAT015,WH01,119,3
2026-09-02,BAT015,WH02,139,10
2026-09-02,BAT016,WH01,144,3
2026-09-02,BAT016,WH02,95,14
2026-09-02,BAT017,WH01,95,9
2026-09-02,BAT017,WH02,58,8
2026-09-02,BAT018,WH01,66,6
2026-09-02,BAT018,WH02,115,13
2026-09-02,BAT019,WH01,107,7
2026-09-02,BAT019,WH02,146,1
2026-09-02,BAT020,WH01,78,2
2026-09-02,BAT020,WH02,77,20
2026-09-02,BAT021,WH01,80,19
2026-09-02,BAT021,WH02,94,14
2026-09-02,BAT022,WH01,90,5
2026-09-02,BAT022,WH02,124,20
2026-09-02,BAT023,WH01,69,16
2026-09-02,BAT023,WH02,68,15
2026-09-02,BAT024,WH01,127,9
2026-09-02,BAT024,WH02,121,5
2026-09-02,BAT025,WH01,48,2
2026-09-02,BAT025,WH02,89,18
2026-09-02,BAT026,WH01,54,9
2026-09-02,BAT026,WH02,118,4
2026-09-02,BAT027,WH01,120,6
2026-09-02,BAT027,WH02,129,12
2026-09-02,BAT028,WH01,100,3
2026-09-02,BAT028,WH02,91,17
2026-09-02,BAT029,WH01,42,15
2026-09-02,BAT029,WH02,94,15
2026-09-02,BAT030,WH01,113,9
2026-09-02,BAT030,WH02,74,13
2026-09-03,BAT001,WH01,55,12
2026-09-03,BAT001,WH02,50,13
2026-09-03,BAT002,WH01,109,1
2026-09-03,BAT002,WH02,124,8
2026-09-03,BAT003,WH01,127,0
2026-09-03,BAT003,WH02,59,10
2026-09-03,BAT004,WH01,60,6
2026-09-03,BAT004,WH02,113,3
2026-09-03,BAT005,WH01,115,2
2026-09-03,BAT005,WH02,59,12
2026-09-03,BAT006,WH01,128,3
2026-09-03,BAT006,WH02,73,19
2026-09-03,BAT007,WH01,149,12
2026-09-03,BAT007,WH02,89,7
2026-09-03,BAT008,WH01,107,12
2026-09-03,BAT008,WH02,72,0
2026-09-03,BAT009,WH01,56,20
2026-09-03,BAT009,WH02,86,10
2026-09-03,BAT010,WH01,91,16
2026-09-03,BAT010,WH02,47,1
2026-09-03,BAT011,WH01,70,10
2026-09-03,BAT011,WH02,114,10
2026-09-03,BAT012,WH01,88,19
2026-09-03,BAT012,WH02,57,12
2026-09-03,BAT013,WH01,100,9
2026-09-03,BAT013,WH02,129,5
2026-09-03,BAT014,WH01,145,6
2026-09-03,BAT014,WH02,100,10
2026-09-03,BAT015,WH01,134,9
2026-09-03,BAT015,WH02,71,0
2026-09-03,BAT016,WH01,80,17
2026-09-03,BAT016,WH02,41,18
2026-09-03,BAT017,WH01,100,2
2026-09-03,BAT017,WH02,73,11
2026-09-03,BAT018,WH01,75,2
2026-09-03,BAT018,WH02,113,14
2026-09-03,BAT019,WH01,53,5
2026-09-03,BAT019,WH02,67,13
2026-09-03,BAT020,WH01,121,15
2026-09-03,BAT020,WH02,144,16
2026-09-03,BAT021,WH01,75,2
2026-09-03,BAT021,WH02,108,19
2026-09-03,BAT022,WH01,148,4
2026-09-03,BAT022,WH02,66,0
2026-09-03,BAT023,WH01,55,11
2026-09-03,BAT023,WH02,100,7
2026-09-03,BAT024,WH01,74,17
2026-09-03,BAT024,WH02,91,16
2026-09-03,BAT025,WH01,146,6
2026-09-03,BAT025,WH02,62,20
2026-09-03,BAT026,WH01,110,6
2026-09-03,BAT026,WH02,109,10
2026-09-03,BAT027,WH01,140,5
2026-09-03,BAT027,WH02,150,19
2026-09-03,BAT028,WH01,60,3
2026-09-03,BAT028,WH02,99,0
2026-09-03,BAT029,WH01,73,9
2026-09-03,BAT029,WH02,147,20
2026-09-03,BAT030,WH01,56,18
2026-09-03,BAT030,WH02,50,15
2026-09-04,BAT001,WH01,133,18
2026-09-04,BAT001,WH02,64,18
2026-09-04,BAT002,WH01,52,10
2026-09-04,BAT002,WH02,92,6
2026-09-04,BAT003,WH01,42,16
2026-09-04,BAT003,WH02,97,13
2026-09-04,BAT004,WH01,85,7
2026-09-04,BAT004,WH02,138,1
2026-09-04,BAT005,WH01,121,15
2026-09-04,BAT005,WH02,82,5
2026-09-04,BAT006,WH01,40,19
2026-09-04,BAT006,WH02,145,5
2026-09-04,BAT007,WH01,43,2
2026-09-04,BAT007,WH02,47,17
2026-09-04,BAT008,WH01,139,3
2026-09-04,BAT008,WH02,122,3
2026-09-04,BAT009,WH01,80,12
2026-09-04,BAT009,WH02,119,18
2026-09-04,BAT010,WH01,44,4
2026-09-04,BAT010,WH02,71,6
2026-09-04,BAT011,WH01,150,16
2026-09-04,BAT011,WH02,75,20
2026-09-04,BAT012,WH01,95,10
2026-09-04,BAT012,WH02,88,3
2026-09-04,BAT013,WH01,143,0
2026-09-04,BAT013,WH02,59,4
2026-09-04,BAT014,WH01,71,2
2026-09-04,BAT014,WH02,41,14
2026-09-04,BAT015,WH01,147,2
2026-09-04,BAT015,WH02,72,10
2026-09-04,BAT016,WH01,142,14
2026-09-04,BAT016,WH02,125,12
2026-09-04,BAT017,WH01,86,4
2026-09-04,BAT017,WH02,135,16
2026-09-04,BAT018,WH01,42,15
2026-09-04,BAT018,WH02,49,15
2026-09-04,BAT019,WH01,131,2
2026-09-04,BAT019,WH02,88,2
2026-09-04,BAT020,WH01,102,19
2026-09-04,BAT020,WH02,48,8
2026-09-04,BAT021,WH01,148,6
2026-09-04,BAT021,WH02,54,10
2026-09-04,BAT022,WH01,96,13
2026-09-04,BAT022,WH02,74,20
2026-09-04,BAT023,WH01,97,6
2026-09-04,BAT023,WH02,146,19
2026-09-04,BAT024,WH01,95,0
2026-09-04,BAT024,WH02,106,11
2026-09-04,BAT025,WH01,56,13
2026-09-04,BAT025,WH02,133,2
2026-09-04,BAT026,WH01,120,2
2026-09-04,BAT026,WH02,123,8
2026-09-04,BAT027,WH01,40,20
2026-09-04,BAT027,WH02,58,12
2026-09-04,BAT028,WH01,60,19
2026-09-04,BAT028,WH02,121,16
2026-09-04,BAT029,WH01,87,9
2026-09-04,BAT029,WH02,110,16
2026-09-04,BAT030,WH01,134,0
2026-09-04,BAT030,WH02,113,2
2026-09-05,BAT001,WH01,71,17
2026-09-05,BAT001,WH02,67,16
2026-09-05,BAT002,WH01,91,4
2026-09-05,BAT002,WH02,77,11
2026-09-05,BAT003,WH01,124,12
2026-09-05,BAT003,WH02,143,18
2026-09-05,BAT004,WH01,123,12
2026-09-05,BAT004,WH02,72,8
2026-09-05,BAT005,WH01,53,7
2026-09-05,BAT005,WH02,142,8
2026-09-05,BAT006,WH01,52,13
2026-09-05,BAT006,WH02,146,18
2026-09-05,BAT007,WH01,70,9
2026-09-05,BAT007,WH02,98,5
2026-09-05,BAT008,WH01,69,4
2026-09-05,BAT008,WH02,150,15
2026-09-05,BAT009,WH01,133,17
2026-09-05,BAT009,WH02,146,2
2026-09-05,BAT010,WH01,137,1
2026-09-05,BAT010,WH02,92,12
2026-09-05,BAT011,WH01,79,3
2026-09-05,BAT011,WH02,61,17
2026-09-05,BAT012,WH01,75,6
2026-09-05,BAT012,WH02,142,3
2026-09-05,BAT013,WH01,141,19
2026-09-05,BAT013,WH02,106,3
2026-09-05,BAT014,WH01,57,5
2026-09-05,BAT014,WH02,104,3
2026-09-05,BAT015,WH01,90,2
2026-09-05,BAT015,WH02,99,0
2026-09-05,BAT016,WH01,118,1
2026-09-05,BAT016,WH02,61,3
2026-09-05,BAT017,WH01,132,1
