snapshot_date,sku,warehouse_id,physical_qty,reserved_qty,damaged_qty,quarantine_qty
2026-09-01,BAT001,WH01,49,16,0,0
2026-09-01,BAT001,WH02,112,9,0,0
2026-09-01,BAT002,WH01,88,18,0,0
2026-09-01,BAT002,WH02,49,14,0,0
2026-09-01,BAT003,WH01,62,1,0,0
2026-09-01,BAT003,WH02,98,20,0,0
2026-09-01,BAT004,WH01,121,15,0,0
2026-09-01,BAT004,WH02,119,16,0,0
2026-09-01,BAT005,WH01,96,2,0,0
2026-09-01,BAT005,WH02,133,9,0,0
2026-09-01,BAT006,WH01,95,7,0,0
2026-09-01,BAT006,WH02,60,19,0,0
2026-09-01,BAT007,WH01,126,13,0,0
2026-09-01,BAT007,WH02,84,17,0,0
2026-09-01,BAT008,WH01,100,9,0,0
2026-09-01,BAT008,WH02,90,4,0,0
2026-09-01,BAT009,WH01,50,11,0,0
2026-09-01,BAT009,WH02,138,1,0,0
2026-09-01,BAT010,WH01,135,17,0,0
2026-09-01,BAT010,WH02,70,13,0,0
2026-09-01,BAT011,WH01,58,15,0,0
2026-09-01,BAT011,WH02,117,7,0,0
2026-09-01,BAT012,WH01,47,20,0,0
2026-09-01,BAT012,WH02,89,18,0,0
2026-09-01,BAT013,WH01,115,16,0,0
2026-09-01,BAT013,WH02,124,4,0,0
2026-09-01,BAT014,WH01,80,9,0,0
2026-09-01,BAT014,WH02,95,0,0,0
2026-09-01,BAT015,WH01,100,3,0,0
2026-09-01,BAT015,WH02,122,14,0,0
2026-09-01,BAT016,WH01,142,15,0,0
2026-09-01,BAT016,WH02,80,20,0,0
2026-09-01,BAT017,WH01,85,6,0,0
2026-09-01,BAT017,WH02,140,7,0,0
2026-09-01,BAT018,WH01,48,9,0,0
2026-09-01,BAT018,WH02,128,3,0,0
2026-09-01,BAT019,WH01,91,2,0,0
2026-09-01,BAT019,WH02,116,9,0,0
2026-09-01,BAT020,WH01,76,4,0,0
2026-09-01,BAT020,WH02,102,14,0,0
2026-09-01,BAT021,WH01,144,9,0,0
2026-09-01,BAT021,WH02,57,17,0,0
2026-09-01,BAT022,WH01,109,14,0,0
2026-09-01,BAT022,WH02,50,6,0,0
2026-09-01,BAT023,WH01,125,17,0,0
2026-09-01,BAT023,WH02,88,16,0,0
2026-09-01,BAT024,WH01,133,8,0,0
2026-09-01,BAT024,WH02,139,6,0,0
2026-09-01,BAT025,WH01,66,14,0,0
2026-09-01,BAT025,WH02,110,2,0,0
2026-09-01,BAT026,WH01,132,4,0,0
2026-09-01,BAT026,WH02,129,0,0,0
2026-09-01,BAT027,WH01,128,16,0,0
2026-09-01,BAT027,WH02,126,13,0,0
2026-09-01,BAT028,WH01,92,14,0,0
2026-09-01,BAT028,WH02,70,16,0,0
2026-09-01,BAT029,WH01,101,9,0,0
2026-09-01,BAT029,WH02,96,11,0,0
2026-09-01,BAT030,WH01,44,2,0,0
2026-09-01,BAT030,WH02,67,2,0,0
2026-09-02,BAT001,WH01,88,14,0,0
2026-09-02,BAT001,WH02,112,9,0,0
2026-09-02,BAT002,WH01,134,11,0,0
2026-09-02,BAT002,WH02,48,16,0,0
2026-09-02,BAT003,WH01,103,13,0,0
2026-09-02,BAT003,WH02,102,11,0,0
2026-09-02,BAT004,WH01,50,11,0,0
2026-09-02,BAT004,WH02,128,6,0,0
2026-09-02,BAT005,WH01,106,0,0,0
2026-09-02,BAT005,WH02,78,9,0,0
2026-09-02,BAT006,WH01,149,4,0,0
2026-09-02,BAT006,WH02,70,8,0,0
2026-09-02,BAT007,WH01,150,17,0,0
2026-09-02,BAT007,WH02,43,4,0,0
2026-09-02,BAT008,WH01,131,1,0,0
2026-09-02,BAT008,WH02,134,5,0,0
2026-09-02,BAT009,WH01,141,6,0,0
2026-09-02,BAT009,WH02,88,13,0,0
2026-09-02,BAT010,WH01,54,11,0,0
2026-09-02,BAT010,WH02,96,16,0,0
2026-09-02,BAT011,WH01,150,13,0,0
2026-09-02,BAT011,WH02,85,8,0,0
2026-09-02,BAT012,WH01,86,17,0,0
2026-09-02,BAT012,WH02,75,3,0,0
2026-09-02,BAT013,WH01,77,0,0,0
2026-09-02,BAT013,WH02,51,1,0,0
2026-09-02,BAT014,WH01,125,15,0,0
2026-09-02,BAT014,WH02,117,9,0,0
2026-09-02,BAT015,WH01,119,3,0,0
2026-09-02,BAT015,WH02,139,10,0,0
2026-09-02,BAT016,WH01,144,3,0,0
2026-09-02,BAT016,WH02,95,14,0,0
2026-09-02,BAT017,WH01,95,9,0,0
2026-09-02,BAT017,WH02,58,8,0,0
2026-09-02,BAT018,WH01,66,6,0,0
2026-09-02,BAT018,WH02,115,13,0,0
2026-09-02,BAT019,WH01,107,7,0,0
2026-09-02,BAT019,WH02,146,1,0,0
2026-09-02,BAT020,WH01,78,2,0,0
2026-09-02,BAT020,WH02,77,20,0,0
2026-09-02,BAT021,WH01,80,19,0,0
2026-09-02,BAT021,WH02,94,14,0,0
2026-09-02,BAT022,WH01,90,5,0,0
2026-09-02,BAT022,WH02,124,20,0,0
2026-09-02,BAT023,WH01,69,16,0,0
2026-09-02,BAT023,WH02,68,15,0,0
2026-09-02,BAT024,WH01,127,9,0,0
2026-09-02,BAT024,WH02,121,5,0,0
2026-09-02,BAT025,WH01,48,2,0,0
2026-09-02,BAT025,WH02,89,18,0,0
2026-09-02,BAT026,WH01,54,9,0,0
2026-09-02,BAT026,WH02,118,4,0,0
2026-09-02,BAT027,WH01,120,6,0,0
2026-09-02,BAT027,WH02,129,12,0,0
2026-09-02,BAT028,WH01,100,3,0,0
2026-09-02,BAT028,WH02,91,17,0,0
2026-09-02,BAT029,WH01,42,15,0,0
2026-09-02,BAT029,WH02,94,15,0,0
2026-09-02,BAT030,WH01,113,9,0,0
2026-09-02,BAT030,WH02,74,13,0,0
2026-09-03,BAT001,WH01,55,12,0,0
2026-09-03,BAT001,WH02,50,13,0,0
2026-09-03,BAT002,WH01,109,1,0,0
2026-09-03,BAT002,WH02,124,8,0,0
2026-09-03,BAT003,WH01,127,0,0,0
2026-09-03,BAT003,WH02,59,10,0,0
2026-09-03,BAT004,WH01,60,6,0,0
2026-09-03,BAT004,WH02,113,3,0,0
2026-09-03,BAT005,WH01,115,2,0,0
2026-09-03,BAT005,WH02,59,12,0,0
2026-09-03,BAT006,WH01,128,3,0,0
2026-09-03,BAT006,WH02,73,19,0,0
2026-09-03,BAT007,WH01,149,12,0,0
2026-09-03,BAT007,WH02,89,7,0,0
2026-09-03,BAT008,WH01,107,12,0,0
